# code|name|province|latitude|longitude|official_name|content_status
3605|新余|江西省|27.8108|114.9308|新余市|lookup
3606|鹰潭|江西省|28.2386|117.0338|鹰潭市|lookup
3607|赣州|江西省|25.8510|114.9403|赣州市|lookup
3608|吉安|江西省|27.1117|114.9864|吉安市|lookup
3609|宜春|江西省|27.8043|114.3911|宜春市|lookup
3610|抚州|江西省|27.9839|116.3584|抚州市|lookup
3611|上饶|江西省|28.4444|117.9712|上饶市|lookup
3701|济南|山东省|36.6521|117.1201|济南市|lookup
3702|青岛|山东省|36.0830|120.3552|青岛市|lookup
3703|淄博|山东省|36.8149|118.0476|淄博市|lookup
3704|枣庄|山东省|34.8109|117.3238|枣庄市|lookup
3705|东营|山东省|37.4340|118.6746|东营市|lookup
3706|烟台|山东省|37.4646|121.4478|烟台市|lookup
3707|潍坊|山东省|36.7093|119.1071|潍坊市|lookup
3708|济宁|山东省|35.4154|116.5872|济宁市|lookup
3709|泰安|山东省|36.1950|117.1291|泰安市|lookup
3710|威海|山东省|37.5097|122.1164|威海市|lookup
3711|日照|山东省|35.4169|119.5269|日照市|lookup
3713|临沂|山东省|35.1038|118.3565|临沂市|lookup
3714|德州|山东省|37.4540|116.3074|德州市|lookup
3715|聊城|山东省|36.4560|115.9804|聊城市|lookup
3716|滨州|山东省|37.3835|118.0170|滨州市|lookup
3717|菏泽|山东省|35.2465|115.4694|菏泽市|lookup
4101|郑州|河南省|34.7580|113.6654|郑州市|curated
4102|开封|河南省|34.7971|114.3414|开封市|curated
4103|洛阳|河南省|34.6197|112.4539|洛阳市|curated
4104|平顶山|河南省|33.7666|113.1926|平顶山市|curated
4105|安阳|河南省|36.1034|114.3525|安阳市|curated
4106|鹤壁|河南省|35.7482|114.2954|鹤壁市|curated
4107|新乡|河南省|35.3036|113.9268|新乡市|curated
4108|焦作|河南省|35.2390|113.2383|焦作市|curated
4109|濮阳|河南省|35.7682|115.0413|濮阳市|curated
4110|许昌|河南省|34.0230|113.8261|许昌市|curated
4111|漯河|河南省|33.5759|114.0264|漯河市|curated
4112|三门峡|河南省|34.7773|111.1941|三门峡市|curated
4113|南阳|河南省|32.9991|112.5409|南阳市|curated
